filepath,bucket,missing_fields,suggested_action,source_type
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Account Details Report 2e7f8ea6a73380388995c9af2fbf4816.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Account Titles and Statement Path 2e8f8ea6a73380a0b202eaf27f91be06.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Accounts Classification 2e8f8ea6a73380579d53e1562c8ecbfc.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Accounts Maintenance 2e8f8ea6a733808ab8d6e51475077957.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Affiliate Domains Report 2e8f8ea6a733808db680d7ab177e1d84.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Affiliate Setup 2e8f8ea6a7338083bf0add1e21e9f14e.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Aggregate Summary Report 2e7f8ea6a733804ab8cbe2e20960457a.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Audit Trails Report 2e7f8ea6a733803189a4c8acaaa1ff76.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Automatic Matching 2e7f8ea6a73380419085dab4dc853346.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Change Working Month 2e8f8ea6a7338072a1d7d621da6946cb.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Changing Your Password 2e8f8ea6a7338071b84af11ca7272bec.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Consolidated Outstanding Items Age Analy 2e7f8ea6a73380f1b058ec78b3f3e188.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Consolidated Outstanding Items Report (B 2e8f8ea6a7338042a770ef6b7812cee4.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Currency Evaluation for Domain Accounts 2e8f8ea6a73380d58153e88df0c8ed24.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Currency Maintenance 2e8f8ea6a73380f99e51d9eedb5951e0.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Currency Setup 2e8f8ea6a7338008b9b7fadf7baa1fc2.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Daily Outstanding Items Report 2e8f8ea6a7338082aee7eab1a4561139.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Dashboard Management 2e8f8ea6a73380329264da66e48d4b70.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Dashboard Management 2e8f8ea6a733803a9516e981bf5c6f37.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Data Capture (Internal & External Record 2e7f8ea6a73380ec9144c60d8096a22a.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Define Ledger Excel CSV Format 2e8f8ea6a73380d18579de4de55f4312.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Delete Account 2e8f8ea6a73380f48d75e2182e0fb1ee.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Delete Account in Transit 2e7f8ea6a73380709259c90d019a02b8.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Domain Account Status Report 2e8f8ea6a73380c4b113c29df68ed8bb.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Domain Setup 2e7f8ea6a733801ca1fed4b1506264af.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Download Services Event Log Report 2e8f8ea6a73380a597c0d5464bce4461.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Extended Consolidated Outstanding Items  2e8f8ea6a73380f68d1ee4b54918730e.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Extended Net Position Report 2e8f8ea6a73380398edefc87e22a035f.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Finance Cost Adjustment Computation & An 2e8f8ea6a73380f7a1ecfa20f14dec1b.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Finance Cost Adjustment Configuration (R 2e8f8ea6a73380709733ca89ec70c554.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Finance Cost Adjustment Data Upload & Se 2e8f8ea6a73380618810f796980cd888.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Input Log Report 2e7f8ea6a7338026af18fb3a563026c8.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Interface Definition 2e7f8ea6a73380cfb0d0fa898d742a10.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Ledger Extraction Interface Definition 2e7f8ea6a7338093ae51cd0c76bfc1e5.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Login & Authentication 2e7f8ea6a73380a78c27c223a4f5fed7.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Logout (Session Termination) 2e7f8ea6a73380239f87e2afae64c8ce.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Machine Assisted Matching 2e7f8ea6a73380ffa94af1bdbc40cc30.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Mailing Group Account Assignment 2e7f8ea6a733800db15ae1b6ef7f74d3.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Mailing Group Setup 2e7f8ea6a7338056a16decd431372900.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Mass Account Reset 2e7f8ea6a73380dcb223f0d205ced271.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Mass Change Working Month 2e7f8ea6a7338099bfdfddd43283b260.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Matching Rule Report 2e7f8ea6a73380d0b86fddf088ab4470.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Modify Age Analysis 2e7f8ea6a7338031b8b3f71014eb3f17.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Modify Amount Analysis 2e7f8ea6a73380c2ab59d20cb2c6c621.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Module Permission & Restriction 2e7f8ea6a7338053b408db414501ca34.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Move Account 2e7f8ea6a733804f8e3cd7016102c9b9.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\New Account Setup 2e7f8ea6a7338016aa1edabe3a4d54de.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Outstanding Items Report (Unreconciled T 2e7f8ea6a73380dd919bf037910d68d1.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Probable Matches Report 2e8f8ea6a7338022a6bce1810c6b5e84.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Reconciliation Reports (Matched Items) 2e7f8ea6a733803ca56fe523f6559d92.md,OK,,none,feature
C:\Users\HP\Desktop\WORK\Fortress_intelligence\ai-support-assistant\knowledge_base\features\Reinstate Deleted Accounts 2e7f8ea6a7338025b10cee31ff633352.md,OK,,none,feature
